date,format,Count,country,counterparty,message
01/01/2024, letter,1, USA, President Biden, 45th anniversary diplomatic ties
01/04/2024, letter,2, USA, Sarah Lande, reply a letter
01/04/2024, message,1, Iran, President Raisi, condolences over the serious terror attacks
01/10/2024, message,2, Tunisia, President Saied, 60th anniversary diplomatic ties
01/01/2024, phone,1, North Korea, Kim Jong Un, New Year Wish and 2024 China-North Korea friendship Year
01/27/2024, phone,2, France, President Macron, 60th anniversary of China-France diplomatic relations
01/17/2024, phone,3, DR Congo, President Felix Tshisekedi, congratulations on the re-election
01/15/2024, phone,4, Denmark, King Frederik X, congratulations on the enthronement
01/12/2024, phone,5, Lesotho, King Letsie III, congratulations over 30th anniversary of resumption of diplomatic ties
01/31/2024, phone,6, Malaysia, Sultan Ibrahim Sultan Iskandar, congratulations on the election
01/11/2024, phone,7, Bangladeshi, Prime Minister Hasina, congratulation on her re-election
01/28/2024, phone,8, Comoros, President Assoumani, congratulations on the re-election
01/10/2024, video,1, Finland, President Niinisto, meeting
01/10/2024, visit in Beijing,1, Maldives, Presient Muizzu, official visit
01/24/2024, visit in Beijing,2, Uzbekistan, President Shavkat Mirziyoyev, official visit
01/24/2024, visit in Beijing,3, Antigua and Barbuda, Prime Minister Gaston Browne, official visit
01/12/2024, visit in Beijing,4, Belgium, Prime Minister De Croo, meeting
