Count,date,format,country,counterparty,message
1,2024 Jun 24,letter,China-US youth festival,Bond with Kuliang: 2024 China-U.S. Youth Festival,congratulation
1,2024 Jun 04,message,Mexico,President Pardo,congratulations on election
2,2024 Jun 04,message,Iceland,President Tomasdottir,congratulations on election
3,2024 Jun 15,message,South Africa,President Ramaphosa,congratulations on re-election
4,2024 Jun 20,message,Trinidad and Tobago,President Kangaloo,congratulations on the 50th anniversary of diplomatic relations
5,2024 Jun 28,message,Venezuela,President Maduro,congratulations on the 50th anniversary of diplomatic relations
1,2024 Jun 06,video,China-Kyrgyzstan-Uzbekistan railway project,China-Kyrgyzstan-Uzbekistan railway project,congratulations on the signing
2,2024 Jun 12,video,UNCTAD,UNCTAD,speech on the 60th anniversary of UNCTAD
1,2024 Jun 07,visit in Beijing,Pakistan,Prime Minister Sharif,official visit
2,2024 Jun 07,visit in Beijing,Brazil,vice President Alckmin,official visit
3,2024 Jun 24,visit in Beijing,Poland,President Duda,official visit
4,2024 Jun 26,visit in Beijing,Vietnam,Prime Minister Pham Minh Chinh,meeting
5,2024 Jun 28,visit in Beijing,Peru,President Boluarte,official visit
